hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
4971,311.1,16.0,18.0,9.1,7.9,1.06,1219.2544000000003,2.0,1210,1212.0,100.6,12.047713717693838,5.9522862823061615,2.0,605-E230725_P_B_9.B
4972,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4973,311.1,15.0,17.0,9.1,7.9,1.022,1102.0737000000001,2.0,1100,1102.0,100.6,10.95427435387674,6.045725646123261,2.0,605-E230725_P_B_9.B
4974,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4975,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4976,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4977,311.1,15.0,17.0,9.1,7.9,1.022,1102.0737000000001,2.0,1100,1102.0,100.6,10.95427435387674,6.045725646123261,2.0,605-E230725_P_B_9.B
4978,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4979,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4986,311.1,16.0,18.0,9.1,7.9,1.06,1219.2544000000003,2.0,1210,1212.0,100.6,12.047713717693838,5.9522862823061615,2.0,605-E230725_P_B_9.B
4987,311.1,16.0,18.0,9.1,7.9,1.06,1219.2544000000003,2.0,1210,1212.0,100.6,12.047713717693838,5.9522862823061615,2.0,605-E230725_P_B_9.B
4988,311.1,16.0,18.0,9.1,7.9,1.06,1219.2544000000003,2.0,1210,1212.0,100.6,12.047713717693838,5.9522862823061615,2.0,605-E230725_P_B_9.B
4989,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4990,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4991,311.1,15.0,17.0,9.1,7.9,1.022,1102.0737000000001,2.0,1100,1102.0,100.6,10.95427435387674,6.045725646123261,2.0,605-E230725_P_B_9.B
4992,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4993,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4994,311.1,15.0,17.0,9.1,7.9,1.022,1102.0737000000001,2.0,1100,1102.0,100.6,10.95427435387674,6.045725646123261,2.0,605-E230725_P_B_9.B
4995,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
4996,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5000,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5001,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5002,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5003,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5004,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5005,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5006,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5007,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
5008,311.1,15.5,17.5,9.1,7.9,1.035,1153.2953249999998,2.0,1150,1152.0,100.6,11.451292246520875,6.048707753479125,2.0,605-E230725_P_B_9.B
