Id_Drill_Trans,Drill_Start_Timestamp,End_Timestamp,X,Y,Z,Depth,Pit_Name,Drill_Passport,Hole_Code,Cycle_Shift_Date,Short_Name,Litology_Code,SEGMENT_DEPTH,WEIGHT_ON_BIT,ROTATION_PER_MINUTE,TORQUE,RATE_OF_PENETRATION
1667127,2025-08-01 07:34:00,2025-08-01 08:00:00,101221.47,60791.35,620.09,17.52,К-р Восточный,605-E230725_P_B_9.B,5017,2025-08-01,PV №52,mica-quartz_carbonate_massive_rocks,-19.19,-36.28,2,0.32,954.0
1611846,2025-06-08 02:59:00,2025-06-08 03:17:00,101771.4,60115.36,639.11,11.24,К-р Восточный,630-E040625_P_B_4.A,5957,2025-06-08,PV №52,carbonized_quartz-mica_hornfels_shists,-2.21,-14.55,9,0.99,66.0
1612678,2025-06-08 20:13:00,2025-06-08 20:31:00,101857.07,60103.89,639.47,11.62,К-р Восточный,630-E040625_P_B_4.A,5704,2025-06-09,PV №52,carbonized_quartz-mica_hornfels_shists,-2.15,-12.23,0,0.14,168.0
1612728,2025-06-09 00:16:00,2025-06-09 00:32:00,101775.82,60097.89,639.28,11.36,К-р Восточный,630-E040625_P_B_4.A,5692,2025-06-09,PV №52,carbonized_quartz-mica_hornfels_shists,-2.03,-15.44,0,0.0,126.6
1611688,2025-06-07 23:58:00,2025-06-08 00:18:00,101828.14,60125.68,639.36,11.74,К-р Восточный,630-E040625_P_B_4.A,5784,2025-06-08,PV №52,carbonized_quartz-mica_hornfels_shists,-2.02,-13.53,0,0.63,215.4
1610826,2025-06-07 02:19:00,2025-06-07 02:35:00,101716.88,60110.85,639.53,11.58,К-р Восточный,630-E040625_P_B_4.A,5965,2025-06-07,PV №52,carbonized_quartz-mica_hornfels_shists,-1.99,-14.09,15,1.52,132.0
1611649,2025-06-07 23:18:00,2025-06-07 23:36:00,101841.81,60126.79,639.26,11.78,К-р Восточный,630-E040625_P_B_4.A,5786,2025-06-08,PV №52,carbonized_quartz-mica_hornfels_shists,-1.95,-16.51,6,1.53,96.0
1611719,2025-06-08 00:20:00,2025-06-08 00:37:00,101821.33,60125.18,639.29,11.6,К-р Восточный,630-E040625_P_B_4.A,5783,2025-06-08,PV №52,carbonized_quartz-mica_hornfels_shists,-1.95,-9.41,0,0.97,222.0
1579121,2025-05-06 19:36:00,2025-05-06 19:49:00,101276.2,60636.97,639.76,12.21,К-р Восточный,630-E030525_P_B_1.B,6056,2025-05-07,PV №52,quartz-mica foliated schists,-1.87,-4.48,5,0.67,371.4
1581519,2025-05-09 05:12:00,2025-05-09 05:27:00,101299.73,60504.23,640.33,12.71,К-р Восточный,630-E030525_P_B_1.B,5875,2025-05-09,PV №52,quartz-mica foliated schists,-1.86,-9.15,17,1.03,180.0
1580426,2025-05-08 05:59:00,2025-05-08 06:11:00,101295.19,60565.54,640.4,12.61,К-р Восточный,630-E030525_P_B_1.B,5942,2025-05-08,PV №52,quartz-mica foliated schists,-1.83,5.57,9,1.12,720.6
