Id_Drill_Trans,Drill_Start_Timestamp,End_Timestamp,X,Y,Z,Depth,Pit_Name,Drill_Passport,Hole_Code,Cycle_Shift_Date,Short_Name,SEGMENT_DEPTH,WEIGHT_ON_BIT,ROTATION_PER_MINUTE,TORQUE,RATE_OF_PENETRATION,drill_passport,depth_m,litology_code
1667127,2025-08-01 07:34:00,2025-08-01 08:00:00,101221.47,60791.35,620.09,17.52,К-р Восточный,605-E230725_P_B_9.B,5017,2025-08-01,PV №52,-19.19,-36.28,2,0.32,954.0,605-E230725_P_B_9.B,-19.19,mica-quartz_carbonate_massive_rocks
1668737,2025-08-03 00:45:00,2025-08-03 01:09:00,101241.94,60687.12,620.9,17.72,К-р Восточный,605-E230725_P_B_9.B,5058,2025-08-03,PV №52,-3.66,-13.02,0,0.81,96.0,605-E230725_P_B_9.B,-3.66,quartz-mica foliated schists
1611634,2025-06-07 20:14:00,2025-06-07 20:15:00,101803.89,60129.75,640.66,0.0,К-р Восточный,630-E040625_P_B_4.A,6068,2025-06-08,PV №52,-3.07,-26.91,0,0.0,144.0,630-E040625_P_B_4.A,-3.07,carbonized_quartz-mica_hornfels_shists
1614467,2025-06-10 19:20:00,2025-06-10 19:41:00,101756.13,60084.25,639.87,12.02,К-р Восточный,630-E040625_P_B_4.A,5675,2025-06-10,PV №52,-2.46,-4.56,4,0.54,72.0,630-E040625_P_B_4.A,-2.46,carbonized_quartz-mica_hornfels_shists
1611689,2025-06-07 22:59:00,2025-06-07 23:16:00,101848.46,60127.21,639.46,11.74,К-р Восточный,630-E040625_P_B_4.A,5787,2025-06-08,PV №52,-2.25,-14.15,6,1.16,150.0,630-E040625_P_B_4.A,-2.25,carbonized_quartz-mica_hornfels_shists
1611692,2025-06-07 22:18:00,2025-06-07 22:36:00,101861.93,60128.11,639.47,11.33,К-р Восточный,630-E040625_P_B_4.A,5789,2025-06-08,PV №52,-2.22,-10.47,22,0.69,60.0,630-E040625_P_B_4.A,-2.22,carbonized_quartz-mica_hornfels_shists
1611846,2025-06-08 02:59:00,2025-06-08 03:17:00,101771.4,60115.36,639.11,11.24,К-р Восточный,630-E040625_P_B_4.A,5957,2025-06-08,PV №52,-2.21,-14.55,9,0.99,66.0,630-E040625_P_B_4.A,-2.21,carbonized_quartz-mica_hornfels_shists
1611012,2025-06-07 05:28:00,2025-06-07 05:47:00,101713.88,60104.39,639.57,11.72,К-р Восточный,630-E040625_P_B_4.A,5761,2025-06-07,PV №52,-2.18,-15.16,38,1.94,114.0,630-E040625_P_B_4.A,-2.18,carbonized_quartz-mica_hornfels_shists
1612678,2025-06-08 20:13:00,2025-06-08 20:31:00,101857.07,60103.89,639.47,11.62,К-р Восточный,630-E040625_P_B_4.A,5704,2025-06-09,PV №52,-2.15,-12.23,0,0.14,168.0,630-E040625_P_B_4.A,-2.15,carbonized_quartz-mica_hornfels_shists
1580744,2025-05-08 13:25:00,2025-05-08 13:41:00,101338.17,60530.32,639.29,12.01,К-р Восточный,630-E030525_P_B_1.B,5958,2025-05-08,PV №52,-2.14,22.0,90,5.26,396.0,630-E030525_P_B_1.B,-2.14,mica-quartz_carbonate_massive_rocks
1668181,2025-08-02 10:38:00,2025-08-02 11:01:00,101273.72,60726.52,621.53,18.5,К-р Восточный,605-E230725_P_B_9.B,8182,2025-08-02,PV №52,-2.07,4.5,51,3.22,417.6,605-E230725_P_B_9.B,-2.07,mica-quartz_carbonate_massive_rocks
1612677,2025-06-08 23:31:00,2025-06-08 23:53:00,101789.44,60099.15,639.1,11.87,К-р Восточный,630-E040625_P_B_4.A,5694,2025-06-09,PV №52,-2.07,-13.46,12,0.5,119.4,630-E040625_P_B_4.A,-2.07,carbonized_quartz-mica_hornfels_shists
