shift_date,shift_number,excavator,area,work_type,loading_point,unloading_point,cargo,truck_type,truck_id,cycle_distance_km,cycle_speed_kmh,volume_m3,weight_t,cycle_start,cycle_end,loading_sec,unloading_sec,trip_duration_sec,load_wait_sec
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,3463 АК 2015,7.06,22.15,55.6,139.0,9:44:00,10:13:00,324.0,25.0,1009.0,217.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,4367 АК 2015,6.96,22.69,58.4,146.0,9:57:00,10:25:00,335.0,48.0,1132.0,171.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,2981 АК 2015,9.88,19.92,50.8,127.0,8:00:00,8:48:00,300.0,33.0,838.0,378.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,2981 АК 2015,6.66,20.57,52.8,132.0,9:16:00,9:50:00,331.0,41.0,931.0,0.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,2859 АК2015,14.33,20.01,52.4,131.0,8:00:00,9:02:00,304.0,27.0,838.0,720.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,2859 АК2015,7.03,21.46,52.0,130.0,10:06:00,10:34:00,422.0,13.0,936.0,45.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,3463 АК 2015,6.72,21.13,54.8,137.0,9:10:00,9:44:00,408.0,27.0,1099.0,0.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,4367 АК 2015,10.78,19.34,52.8,132.0,8:00:00,8:57:00,315.0,35.0,951.0,364.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,3463 АК 2015,7.22,22.34,51.2,128.0,10:13:00,10:42:00,408.0,27.0,1126.0,107.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+360 запад,"Порода, III НК2",Белаз 141,3463 АК 2015,9.76,19.24,50.8,127.0,8:00:00,9:10:00,276.0,26.0,1084.0,766.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+350 запад,"Порода, III НК2",Белаз 141,2981 АК 2015,6.98,22.68,54.8,137.0,9:50:00,10:19:00,299.0,23.0,961.0,249.0
2023-08-01,1.0,Hitachi EX 1200 (№24) ТДС,Новоказанский-2,Авто,68 центр,А/о гор.+360 запад,"Порода, III НК2",Белаз 141,2981 АК 2015,6.4,21.9,51.2,128.0,8:48:00,9:16:00,250.0,27.0,852.0,289.0
