drill_passport,depth_from,depth_to,litology_code
605-E230725_P_B_9.B,-19.19,-3.66,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-3.66,-2.07,quartz-mica foliated schists
605-E230725_P_B_9.B,-2.07,-2.0,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-2.0,-1.99,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.99,-1.83,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.83,-1.81,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.81,-1.79,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.79,-1.76,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.76,-1.72,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.72,-1.7,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.7,-1.64,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.64,-1.63,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.63,-1.61,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.61,-1.59,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.59,-1.44,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.44,-1.41,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.41,-1.25,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.25,-1.22,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.22,-1.04,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.04,-1.03,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.03,-0.95,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-0.95,-0.41,quartz-mica foliated schists
605-E230725_P_B_9.B,-0.41,1.09,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.09,1.1,quartz-mica foliated schists
605-E230725_P_B_9.B,1.1,1.11,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-2.14,-1.93,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.93,-1.85,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.85,-1.83,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.83,-1.72,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.72,-1.71,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.71,-1.68,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.68,-1.67,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.67,-1.64,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.64,-1.63,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.63,-1.62,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.62,-1.61,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.61,-1.57,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.57,-1.56,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.56,-1.52,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.52,-1.51,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.51,-1.49,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.49,-1.48,mica-quartz_carbonate_massive_rocks
