drill_passport,depth_m,litology_code
605-E230725_P_B_9.B,-19.19,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-3.66,quartz-mica foliated schists
605-E230725_P_B_9.B,-2.07,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-2.04,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-2.0,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.99,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.88,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.86,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.85,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.83,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.81,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.79,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.76,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.75,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.73,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.72,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.7,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.64,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.63,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.62,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.61,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.59,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.58,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.57,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.56,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.54,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.51,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.5,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.49,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.48,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.47,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.46,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.45,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.44,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.42,quartz-mica foliated schists
605-E230725_P_B_9.B,-1.41,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.4,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.39,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.38,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.37,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.36,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,-1.35,mica-quartz_carbonate_massive_rocks
